,Player,From,To,Price_m,Year
88,Ragnar Klavan,Liverpool,Cagliari,1.17,2017
92,Mirko Voldifori,Torino,SPAL,0.9,2017
93,Marlon,FC Barcelona,Sassuolo,5.4,2017
95,William Troost-Ekong,Bursaspor,Udinese,2.97,2017
100,Steven N'Zonzi,Sevilla,AS Roma,23.9,2017
101,Albin Ekdal,Hamburger SV,Sampdoria,2.0,2017
103,Federico Barba,Sporting Gijon,Chievo Verona,2.7,2017
107,Joel Obi,Torino,Chievo Verona,1.8,2017
113,Kevin Malcuit,Lille,Napoli,10.8,2017
122,Filip Bradaric,Rijeka,Cagliari,4.5,2017
123,Enrico Brignola,Benevento,Sassuolo,3.15,2017
127,Leonardo Bonucci,AC Milan,Juventus,31.5,2017
128,Mattia Caldara,Juventus,AC Milan,31.5,2017
131,Joaquín Correa,Sevilla,Lazio,13.5,2017
137,Sergio Alvarez,Sporting Gijon,Eibar,3.6,2017
138,Rolando Mandragora,Juventus,Udinese,18.0,2017
140,Robin Olsen,FC Copenhagen,AS Roma,7.65,2017
141,Jeremie Boga,Chelsea,Sassuolo,3.6,2017
145,Christian Nörgaard,Brondby IF,Fiorentina,3.15,2017
147,Mehdi Bourabia,Konyaspor,Sassuolo,2.03,2017
148,Ignacio Pussetto,Huracan,Udinese,7.2,2017
155,Nicholas Opoku,Club Africain,Udinese,1.35,2017
156,Francesco Acerbi,Sassuolo,Lazio,9.0,2017
157,Juan Musso,Racing Club Avellaneda,Udinese,3.47,2017
161,Soualiho Meité,Monaco,Torino,9.0,2017
162,Bremer,Atletico Mineiro,Torino,4.5,2017
163,Cristiano Ronaldo,Real Madrid,Juventus,120.0,2017
174,Alex Meret,Udinese,Napoli,19.8,2017
175,Orestis Karnezis,Udinese,Napoli,2.25,2017
176,Mattias Svanberg,Malmo FF,Bologna,4.5,2017
177,Federico Di Francesco,Bologna,Sassuolo,9.0,2017
178,Armando Izzo,Genoa,Torino,7.2,2017
179,Diego Falcinelli,Sassuolo,Bologna,9.0,2017
183,Valon Berisha,RB Salzburg,Lazio,6.75,2017
186,Samuel Mraz,MSK Zilina,Empoli,1.35,2017
189,Alban Lafont,Toulouse,Fiorentina,7.65,2017
191,Lucas Castro,Chievo Verona,Cagliari,5.85,2017
192,Nicolas N'Koulou,Olympique Lyon,Torino,3.15,2017
193,Marco Carraro,Inter Milan,Atalanta,4.5,2017
194,Giangiacomo Magnani,Perugia,Juventus,4.5,2017
197,William Bianda,Lens,Roma,6.0,2017
199,Jens Ogdaard,Inter Milan,Sassuolo,4.5,2017
200,Nicola Citro,Trapani,Frosinone,0.27,2017
202,Joao Cancelo,Valencia,Juventus,36.3,2017
203,Radja Nainggolan,Roma,Inter Milan,24.0,2017
206,Javier Pastore,PSG,AS Roma,22.2,2017
208,Cristian Romero,Belgrano,Genoa,1.55,2017
209,Antonio Mirante,Bologna,AS Roma,3.6,2017
210,Riza Durmisi,Real Betis,Lazio,5.85,2017
211,Marco Tumminello,AS Roma,Atalanta,4.5,2017
213,Federico Santander,FC Copenhagen,Bologna,5.4,2017
216,Lukasz Skorupski,AS Roma,Bologna,8.1,2017
217,Justin Kluivert,Ajax,AS Roma,15.53,2017
219,Vid Belec,Benevento,Sampdoria,0.36,2017
220,Omar Colley,KRC Genk,Sampdoria,6.9,2017
221,Bartosz Salamon,Cagliari,SPAL,1.8,2017
222,Nenad Tomovic,Fiorentina,Chievo Verona,2.25,2017
223,Francesco Bardi,Inter Milan,Frosinone,0.9,2017
224,Andrea Beghetto,Genoa,Frosinone,1.08,2017
227,Luka Kranjc,Cagliari,Frosinone,0.9,2017
229,Andrea Favalli,Ascoli,Juventus,6.75,2017
233,Mattia Perin,Genoa,Juventus,12.0,2017
235,Pierluigi Gollini,Aston Villa,Atalanta,4.0,2017
236,Simone Verdi,Bologna,Napoli,22.5,2017
237,Krzystof Piatek,Cracovia Krakow,Genoa,3.6,2017
239,Douglas Costa,Bayern Munich,Juventus,40.0,2017
242,German Pezella,Real Betis,Fiorentina,9.0,2017
243,Ante Coric,Dinamo Zagreb,AS Roma,6.0,2017
7,Antonio SanabriaJan,Real Betis,Torino,7.0,2019
9,Viktor KovalenkoJan,Shakhtar Donetsk,Atalanta,0.7,2019
39,Valentin Mihăilă,CS U Craiova,Parma,8.0,2019
40,Nicolás Schiappacasse,Atletico Madrid B,Sassuolo,1.3,2019
44,Lucas Martínez Quarta,River Plate,Fiorentina,6.0,2019
53,Chris Smalling,Manchester United,Roma,15.0,2019
57,Bruno Amione,Belgrano,Hellas Verona,1.7,2019
59,Simon Sohm,Zurich,Parma,6.5,2019
61,Rolando Mandragora,Udinese,Juventus,10.7,2019
66,Jens Petter Hauge,Bodø/Glimt,AC Milan,5.0,2019
67,Mohamed Fares,SPAL,Lazio,8.0,2019
69,Jacopo Petriccione,Lecce,Crotone,1.5,2019
83,Aaron Hickey,Heart of Midlothian,Bologna,2.0,2019
92,Arturo Vidal,Barcelona,Inter Milan,1.0,2019
93,Sam Lammers,PSV Eindhoven,Atalanta,9.0,2019
101,Darian Males,FC Luzern,Inter Milan,4.0,2019
106,Vedat Muriqi,Fenerbahce,Lazio,17.5,2019
110,Ardian Ismajli,Hajduk Split,Spezia Calcio,2.0,2019
117,Ciprian Tătăruşanu,Lyon,AC Milan,0.5,2019
122,Jeroen Zoet,PSV Eindhoven,Spezia Calcio,1.5,2019
127,Aleksandar Kolarov,Roma,Inter Milan,1.5,2019
132,Miloš Vulić,Red Star Belgrade,Crotone,0.8,2019
133,Aleksei Miranchuk,Lokomotiv Moscow,Atalanta,14.5,2019
138,Adrien Tameze,Nice,Hellas Verona,3.5,2019
140,Gianluca Lapadula,Genoa,Benevento,4.0,2019
143,Koray Günter,Genoa,Hellas Verona,2.0,2019
145,Kevin Rüegg,FC Zurich,Hellas Verona,2.0,2019
147,Stefano Sensi,Sassuolo,Inter Milan,20.0,2019
148,Ivor Pandur,HNK Rijeka,Hellas Verona,0.9,2019
149,Luca Marone,Hellas Verona,Crotone,1.0,2019
151,Mërgim Vojvoda,Standard Liege ,Torino,5.5,2019
155,Karol Linetty,Sampdoria,Torino,7.5,2019
156,Nicolò Barella,Cagliari,Inter Milan,25.0,2019
157,Kevin Bonifazi,Torino,SPAL,11.0,2019
158,Arthur,Barcelona,Juventus,72.0,2019
159,Lucas Castro,Cagliari,SPAL,3.0,2019
160,Mario Pasalic,Chelsea,Atalanta,15.0,2019
161,Georgios Kyriakopoulos,Asteras Tripoli,Sassuolo,1.2,2019
162,Felix Correia,Manchester City,Juventus,10.5,2019
163,Alexis Saelemaekers,Anderlecht,Milan,3.5,2019
166,Victor Osimhen,Lille,Napoli,70.0,2019
167,Achraf Hakimi,Real Madrid,Inter Milan,40.0,2019
169,Emmanuel Badu,Udinese,Hellas Verona,0.8,2019
170,Grégoire Defrel,Roma,Parma,9.0,2019
171,Lukas Haraslin,Lechia Gdansk,Sassuolo,1.5,2019
172,Jasmin Kurtic,SPAL,Parma,3.5,2019
173,Alberto Grassi,Napoli,Parma,6.9,2019
174,Simon Kjaer,Sevilla,Milan,3.5,2019
175,Simone Muratore,Juventus,Atalanta,7.0,2019
176,Carles Pérez,Barcelona,Roma,11.0,2019
177,Gianluca Mancini,Atalanta,Roma,13.0,2019
178,Jordan Veretout,Fiorentina,Roma,16.0,2019
179,Luigi Sepe,Napoli,Parma,4.58,2019
180,Hernani,Zenit,Parma,4.48,2019
182,Vlad Chiriches,Napoli,Sassuolo,9.0,2019
183,Christian Kouamé,Genoa,Fiorentina,11.0,2019
184,Daam Foulon,Beveren,Benevento,0.5,2019
185,Giovanni Simeone,Fiorentina,Cagliari,12.0,2019
186,Lorenzo Tonelli,Napoli,Sampdoria,2.5,2019
187,Kamil Glik,Monaco,Benevento,3.0,2019
188,Giuseppe Pezzella,Udinese,Parma,6.45,2019
191,Filippo Romagna,Cagliari,Sassuolo,4.0,2019
192,Kaan Ayhan,Fortuna Dusseldorf,Sassuolo,2.5,2019
78,Abdoulaye Toure,FC Nantes,Genoa,3.5,2020
83,Felipe Caicedo,Lazio,Genoa,2.0,2020
96,Janis Antiste,Toulouse,Spezia Calcio,4.5,2020
99,Toma Bašić,Bordeaux,Lazio,7.0,2020
102,Thomas Henry,OH Leuven,Venezia,5.5,2020
103,Lennart Czyborra,Atalanta,Genoa,5.5,2020
104,Davide Zappacosta,Chelsea,Atalanta,9.0,2020
110,Kaio Jorge,Santos,Juventus,3.0,2020
112,Aimar Sher,Hammarby,Spezia Calcio,2.4,2020
113,Tammy Abraham,Chelsea,Roma,40.0,2020
116,Denzel Dumphries,PSV Eindhoven,Inter,12.5,2020
119,Alessandro Vogliacco,Pordenone,Genoa,2.0,2020
121,Ruan,Gremio,Sassuolo,5.0,2020
126,Ivan Ilić,Manchester City,Hellas Verona,7.5,2020
128,Liam Henderson,Lecce,FC Empoli,1.5,2020
132,Gianluca Busio,Sporting KC,Venezia,6.0,2020
135,Matías Viña,Palmeiras,Roma,13.0,2020
142,Lazar Samardžić,RB Leipzig,Udinese,3.0,2020
144,Eldor Shomurodov,Genoa,Roma,17.5,2020
146,Matteo Lovato,Hellas Verona,Atalanta,8.0,2020
160,Kelvin Amian,Toujlouse,Spezia Calcio,3.2,2020
169,Fodé Ballo-Touré,Monaco,AC Milan,4.0,2020
175,Rui Patricio,Wolves,Roma,11.5,2020
176,Zinho Vanheusden,Standard Liege,Inter Milan,16.0,2020
177,Magnus Warming,Lyngby,Torino,1.2,2020
180,Sandro Tonali,Brescia,AC Milan,6.5,2020
184,Juan Musso,Udinese,Atalanta,20.0,2020
185,Kevin Bonifazi,SPAL,Bologna,6.0,2020
186,David Schnegg,LASK,Venezia,0.25,2020
187,Fikayo Tomori,Chelsea,AC Milan,29.2,2020
188,Bryan Reynolds,FC Dallas,AS Roma,6.75,2020
189,Dimitrije Kamenovic,Cukaricki,Lazio,2.5,2020
192,Léo Sena,Atletico-MG,Spezia Calcio,2.0,2020
195,Adama Sumaoro,LOSC Lille,Bologna,2.5,2020
197,Mike Maignan,LOSC Lille,AC Milan,15.0,2020
198,Alberto Paleari,Cittadella,Genoa,2.0,2020
200,Nicolas Gonzales,Stuttgart,Fiorentina,23.0,2020
1,Juan Cabal,Atlético Nacional,Hellas Verona,4.0,2021
4,Perr Schuurs,Ajax,Torino,9.0,2021
5,Jhon Lucumí,Genk,Bologna,8.0,2021
7,Brandon Soppy,Udinese,Atalanta,9.0,2021
9,Joaquín Sosa,Nacional,Bologna,1.7,2021
12,Giulio Maggiorre,Spezia,Salernitana,4.5,2021
14,Dylan Bronn,Metz,Salernitana,1.0,2021
24,Cyriel Dessers,Genk,Cremonese,6.5,2021
26,Luka Lochoshvili,Wolfsberger,Cremonese,1.6,2021
27,Bartolomiej Dragowski,Fiorentina,Spezia,2.0,2021
28,Emirhan İlkhan,Besiktas,Torino,4.5,2021
29,Ivan Provedel,Spezia,Lazio,2.0,2021
33,Emanuel Aiwu,Rapid Vienna,Cremonese,3.5,2021
37,Ademola Lookman,RB Leipzig,Atalanta,9.0,2021
41,Charles De Ketelaere,Club Brugge,AC Milan,32.0,2021
44,Daniel Samek,Slavia Prague,Lecce,2.0,2021
46,Federico Di Francesco,SPAL,Lecce,0.5,2021
48,Enzo Ebosse,Angers,Udinese,4.0,2021
53,Kim Min-jae,Fenerbahce,Napoli,18.0,2021
54,Federico Bonazzoli,Sampdoria,Salernitana,5.0,2021
55,Giacomo Quagliata,Heracles,Cremonese,2.0,2021
59,Dodo,Shakhtar Donetsk,Fiorentina,14.5,2021
60,Charles Pickel,Famalicao,Cremonese,3.8,2021
62,Gleison Bremer,Torino,Juventus,41.0,2021
66,Leo Ostigard,Brighton,Napoli,5.0,2021
77,Domagoj Bradarić,Lille,Salernitana,5.0,2021
78,Thomas Henry,Venezia,Hellas Verona,5.0,2021
79,Thomas Henry,Venezia,Hellas Verona,5.0,2021
83,Andrea Cambiaso,Genoa,Juventus,8.5,2021
84,Alessandro Sorrentino,Pescara,Monza,1.0,2021
85,Jaka Bijol,CSKA Moscow,Udinese,4.0,2021
87,Josh Doig,Hibernian,Hellas Verona,3.6,2021
88,Luís Maximiano,Granada,Lazio,10.5,2021
89,Joel Voelkerling Persson,Roma,Lecce,0.8,2021
90,Mario Gila,Real Madrid,Lazio ,6.0,2021
91,Lewis Ferguson,Aberdeen,Bologna,3.5,2021
92,Kristian Thorstvedt,Genk,Sassuolo,10.0,2021
94,Diego Valencia,Universidad Catolica,Salernitana,2.5,2021
101,Samuele Birindelli,Pisa,Monza,1.5,2021
102,Nicolo Casale,Hellas Verona,Lazio,7.0,2021
104,Junior Messias,Crotone,Milan,4.5,2021
112,Ederson,Salernitana,Atalanta,21.0,2021
116,Zeki Celik,Lille,Roma,7.0,2021
117,Rolando Mandragora,Juventus,Fiorentina,8.2,2021
122,Alessandro Florenzi,Roma,AC Milan,2.7,2021
123,Tommaso Milanese,Roma,Cremonese,0.75,2021
124,Pedro Pereira,Benfica,Monza,2.5,2021
126,Samuele Ricci,Empoli,Torino,8.5,2021
127,Valentin Antov,CSKA Sofia,Monza,2.0,2021
128,Augustin Alvarez,Penarol,Sassuolo,12.0,2021
130,Arthur Theate,KV Ostende,Bologna,6.0,2021
131,Michele Di Gregorio,Inter,Monza,4.0,2021
132,Pasquale Mazzocchi,Venezia,Salernitana,1.0,2021
133,Mikael,Sport Recife,Salernitana,2.75,2021
134,Michel Aebischer,Young Boys,Bologna,4.0,2021
135,Abdelhamid Sabiri,Ascoli,Sampdoria,1.0,2021
137,Mathias Olivera,Getafe,Napoli,11.0,2021
138,Leonardo Mancuso,Empoli,Monza,3.0,2021
139,Gugliermo Vicario,Cagliari,Empoli,8.5,2021
140,Gianluca Caprari,Sampdoria,Hellas Verona,4.0,2021
141,Martin Hongla,Royal Antwerp,Hellas Verona,3.7,2021
142,Beto,Portimonense,Udinese,7.0,2021
143,Mahteus Henrique,Gremio,Sassuolo,8.0,2021
144,Jeremie Boga,Sassuolo,Atalanta,20.0,2021
145,Khvicha Kvaratskheila,Dinamo Batumi,Napoli,10.0,2021
146,Filippo Melegoni,Atalanta,Genoa,4.0,2021
147,Francesco Caputo,Sassuolo,Sampdoria,3.5,2021
148,Mattia Zaccagni,Hellas Verona,Lazio,7.0,2021
149,Giovanni Simeone,Cagliari,Hellas Verona,10.5,2021
150,Merih Demiral,Juventus,Atalanta,20.0,2021
152,Andre Zambo Anguissa,Fulham,Napoli,15.0,2021
153,Mamadou Coulibaly,Udinese,Salernitana,3.0,2021
154,Pietro Pellegri,Monaco,Torino,5.0,2021
159,Joaquin Correa,Lazio,Inter,23.6,2021
162,Kevin Agudelo,Genoa,Spezia,2.7,2021
163,Marcos Antônio,Shakhtar Donetsk,Lazio,7.5,2021
167,Andrea Carboni,Cagliari,Monza,4.0,2021
171,Destiny Udogie,Hellas Verona,Udinese,4.0,2021
172,Arkadiusz Reca,Atalanta,Spezia,2.0,2021
173,Emil Konradsen Ceide,Rosenborg,Sassuolo,3.0,2021
174,Mehdi Bourabia,Sassuolo,Spezia,1.5,2021
176,Abdou Harroui,Sparta Rotterdam,Sassuolo,3.0,2021
181,Pawel Jaroszynski,Genoa,Salernitana,1.0,2021
182,Ertrit Berisha,SPAL,Torino,0.3,2021
183,Lorenzo Montipo,Benevento,Hellas Verona,1.0,2021
184,Emil Bohinen,CSKA Moscow,Salernitana,3.25,2021
27,Ihlas Bebou,Dusseldorf,Hannover,5.0,2016
28,Kevin Kampl,Bayer Leverkusen,RB Leipzig,20.0,2016
30,Panagiotis Retsos,Olympiacos,Bayer Leverkusen,22.0,2016
33,Jadon Sancho,Manchester City,Bor. Dortmund,0.21,2016
34,Andreas Beck,Besiktas,Stuttgart,2.0,2016
37,Andriy Yarmolenko,Dynamo Kiev,Bor. Dortmund,25.0,2016
43,Marco Terrazzino,Hoffenheim,Freiburg,2.5,2016
44,Paul Verhaegh,Augsburg,Wolfsburg,1.5,2016
47,Rick van Drongelen,Sparta Rotterdam,Hamburg,3.0,2016
49,Jetro Willems,PSV,Eint. Frankfurt,6.0,2016
50,Ailton,Estoril,Stuttgart,1.0,2016
51,Bastian Oczipka,Eint. Frankfurt,Schalke,4.5,2016
53,Abdou Diallo,AS Monaco,Mainz,5.0,2016
55,Sven Bender,Bor. Dortmund,Bayer Leverkusen,15.0,2016
57,Ron-Robert Zieler,Leicester City,Stutgart,4.0,2016
58,Amine Harit,Nantes,Schalke,8.0,2016
60,Ignazio Camacho,Malaga,Wolfsburg,15.0,2016
62,Jean-Kevin Augustin,PSG,RB Leipzig,13.0,2016
63,Jonathan de Guzman,Napoli,Eint. Frankfurt,2.0,2016
64,Michael Gregoritsch,Hamburg,Augsburg,5.5,2016
66,Matthias Ginter,Bor. Dortmund,Bor. Mgladbach,17.0,2016
68,Havard Nordtveit,West Ham,Hoffenheim,7.0,2016
70,Konrad Laimer,RB Salzburg,RB Leipzig,7.0,2016
71,Denis Zakaria,Young Boys,Bor. Mgladbach,12.0,2016
72,Kingsley Coman,Juventus,Bayern Munich,21.0,2016
73,Yvon Mvogoi,Young Boys,RB Leipzig,5.0,2016
74,Yevhen Konoplyanka,Sevilla,Schalke,12.5,2016
75,Karim Rekik,Marseille,Hertha Berlin,2.5,2016
76,Ludwig Augustinsson,FC Copenhagen,Werder Bremen,4.5,2016
77,Dominik Kohr,Augsburg,Bayer Leverkusen,2.0,2016
78,Sebastien Haller,Utrecht,Eint. Frankfurt,7.0,2016
79,Niklas Sule,Hoffenheim,Bayern Munich ,20.0,2016
80,Gelson Fernandes,Rennes,Eint. Frankfurt,0.5,2016
81,Kenan Kodro,Osasuna,Mainz,1.75,2016
82,Pablo Insua,Deportivo La Coruna,Schalke,3.5,2016
84,William,Internacional,Wolfsburg,5.0,2016
86,Daichi Kamada,Sagan Tosu,Eint. Frankfurt,1.6,2016
88,Davie Selke,RB Leipzig,Hertha Berlin,8.0,2016
89,Mathew Leckie,FC Ingolstadt,Hertha Berlin,3.0,2016
90,Nany Landry Dimata,Ostende,Wolfsburg,10.0,2016
91,Viktor Fischer,Middlesbrough,Mainz,3.0,2016
93,Nabil Bentaleb,Tottenham,Schalke,19.0,2016
94,Corentin Tolisso,Olympique Lyon,Bayern Munich,41.5,2016
95,Justin Hoogma,Heracles,Hoffenheim,2.0,2016
97,Jerome Gondorf,Darmstadt,Werder Bremen,1.2,2016
98,Fabian Giefer,Schalke,Augsburg ,0.75,2016
99,Julian Korb,Bor. Mgladbach,Hannover,3.0,2016
100,Jhon Cordoba,Mainz,Koln ,17.0,2016
101,Florian Niederlechner,Mainz,Freiburg ,2.3,2016
104,Mahmoud Dahoud,Bor. Mgladbach,Bor. Dortmund,12.0,2016
105,Andre Hahn,Bor. Mgladbach,Hamburg,6.0,2016
106,Omer Torpak,Leverkusen,Bor. Dortmund,12.0,2016
107,Julian Pollersbeck,Kaiserslautern,Hamburg,3.5,2016
108,Danny da Costa,Leverkusen,Eint. Frankfurt,1.0,2016
109,Kyriakos Papadopoulos,Leverkusen,Hamburg,6.5,2016
110,Pascal Stenzel,Bor. Dortmund,Freiburg,4.0,2016
111,Bruma,Galatasaray,RB Leipzig,12.5,2016
112,John Anthony Brooks,Herrha Berlin,Wolfsburg,17.0,2016
114,Serge Gnabry,Werder Bremen,Bayern Munich,8.0,2016
115,Michael Esser,Darmstadt,Hannover,2.0,2016
116,Anastasios Donis,Juventus,Stuttgart,3.0,2016
117,Marvin Stefaniak,Dynamo Dresden,Wolfsburg,2.0,2016
119,Jannes Horn,Wolfsburg,Koln,7.0,2016
120,Alexandru Maxim,Stuttgart,Mainz,3.0,2016
121,Jiri Pavlenka,Slavia Prague,Werder Bremen,3.0,2016
122,Vincenzo Grifo,Freiburg,Bor. Mgladbach,6.0,2016
124,Ohis Felix uduokhai,1860 Munich,Wolfsburg,1.0,2016
125,Maximilian Philipp,Freiburg,Bor. Dortmund,20.0,2016
28,Roland Sallai,APOEL Nicosia,Freiburg,4.05,2017
29,Nuri Sahin,Bor. Dortmund,Werder Bremen,0.9,2017
35,Sebastian Rudy,Bayern Munich,Schalke 04,14.4,2017
36,Jean-Paul Boëtius,Feyenoord,Mainz,3.15,2017
41,Hamza Mendyl,Lille,Schalke 04,5.5,2017
43,Jerome Roussillon,Montpellier,Vfl Wolfsburg,4.5,2017
45,Axel Witsel,TJ Quanjian,Bor. Dortmund,18.0,2017
47,Stefanos Kapino,Nottingham Forest,Werder Bremen,0.72,2017
50,Davy Klaassen,Everton,Werder Bremen,13.5,2017
52,Kasim Nuhu,BSC Young Boys,Hoffenheim,7.2,2017
53,Alphonso Davies,Vancouver Whitecaps,Bayern Munich,13.0,2017
57,Alassane Pléa,Nice,B. Monchengladbach,20.7,2017
58,Gonçalo Paciência,FC Porto,Eintracht Frankfurt,2.7,2017
61,Nicolas Gonzalez,Argentinos Juniors,VfB Stuttgart,7.65,2017
63,Moussa Niakhaté,FC Metz,Mainz,5.4,2017
67,Lucas Torro,Osasuna,Eintracht Frankfurt,1.58,2017
68,Jean-Philippe Mateta,Olympique Lyon,Mainz,7.2,2017
69,Omar Mascarell,Frankfurt,Schalke 04,10.0,2017
70,Michael Lang,FC Basel,Monchengladbach,2.52,2017
71,Daniel Ginczek,VfB Stuttgart,Wolfsburg,9.0,2017
73,Gonzalo Castro,Bor. Dortmund,VfB Stuttgart,4.5,2017
74,Fredrik Jensen,FC Twente,Augsburg,2.7,2017
75,Wout Weghorst,AZ Alkmaar,Wolfsburg,9.45,2017
76,Walace,Hamburger SV,Hannover 96,5.4,2017
77,Abdou Diallo,Mainz 05,Bor. Dortmund,25.2,2017
79,Matheus Cunha,FC Sion,RB Leipzig,13.5,2017
82,Felix Beijmo,Djurgarden,Werder Bremen,2.7,2017
83,Marcelo Saracchi,River Plate,RB Leipzig,12.1,2017
84,Vincenzo Grifo,Monchengladbach,Hoffenheim,4.95,2017
85,Pascal Köpke,Erzgebirge Aue,Hertha BSC,1.8,2017
86,Genki Haraguchi,Hertha BSC,Hannover 96,3.6,2017
87,Jerome Gondorf,Werder Bremen,Freiburg,1.17,2017
88,Thomas Delaney,W. Bremen,Bor. Dortmund,20.0,2017
89,Steven Skrzybski,Union Berlin,Schalke,3.5,2017
91,Marius Wolf,Eint. Frankfurt,Bor. Dortmund,5.0,2017
46,Michael Cuisance,Monchengladbach,Bayern Munich,9.0,2018
48,Diadie Samassekou,RB Salzburg,Hoffenheim,12.0,2018
49,Ramy Bensebaini,Rennes,Monchengladbach,8.0,2018
53,Kevin Trapp,PSG,Eintracht Frankfurt,7.0,2018
54,Jeremiah St. Juste,Feyenoord,Mainz,9.0,2018
57,Sebastiaan Bornauw,Anderlecht,FC Koln,6.3,2018
58,Tomas Koubek,Stade Rennais,Augsburg,6.75,2018
61,Dodi Lukebakio,Watford,Hertha Berlin,18.0,2018
62,Martin Hinteregger,Augsburg,Eintracht Frankfurt,12.0,2018
66,Ellyes Shkiri,Montpellier,FC Koln,5.4,2018
67,Sebastian Rode,Bor. Dortmund,Eintracht Frankfurt,3.8,2018
68,Robert Skov,FC Copenhagen,Hoffenheim,9.0,2018
69,Ademola Lookman,Everton,RB Leipzig,18.0,2018
71,Marcus Thuram,Guingamp,Monchengladbach,8.5,2018
73,Christopher Nkunku,PSG,RB Leipzig,15.0,2018
75,Nana Ampomah,Waasland-Beveren,Fortuna Dusseldorf,4.0,2018
90,Thorgan Hazard,Monchengladbach,Bor. Dortmund,22.5,2018
92,Julian Brandt,Bayer Leverkusen,Bor. Dortmund,22.5,2018
93,Suleiman Abdullahi,Braunschweig,Union Berlin,0.45,2018
95,Nico Schulz,Hoffenheim,Bor. Dortmund,24.3,2018
99,Marvin Friedrich,Union Berlin,Augsburg,0.9,2018
100,Philipp Klement,Paderborn,Stuttgart,2.5,2018
101,Kerem Demirbay,Hoffenheim,Bayer Leverkusen,29.0,2018
102,Niclas Füllkrug,Hannover 96,Werder Bremen,5.85,2018
103,Kevin Mbabu,BSC Young Boys,Wolfsburg,8.28,2018
105,Jann-Fiete Arp,Hamburg,Bayern Munich,2.7,2018
106,Hannes Wolf,RB Salzburg,RB Leipzig,10.5,2018
107,Lucas Hernandez,Atletico Madrid,Bayern Munich,72.0,2018
110,Ilhas Bebou,Hannover 96,Hoffenheim,9.0,2018
111,Filip Kostic,Hamburg,Frankfurt,5.4,2018
112,Sargis Adamyan,Jahn Regensburg,Hoffenheim,1.35,2018
113,Joao Victor,LASK Linz,Wolfsburg,1.8,2018
